Name,Description
1.14.1,SAM1: Co-designing the solutionscape / Filling knowledge gaps
1.14.2,SAM1: Enabling Conservation at the Landscape level
1.14.4,Empowering People for Conservation
1.11.1,EAF1: Healthy and functional semi-arid landscapes - co-design knowledge and engagement
1.11.12,Powering local prosperity through green growth
1.11.15,Multi-purpose corridors and ecosystem restoration (2025)
1.12.1,EAF2: Saving wetlands for people and wildlife - Co-design knowledge and engagement
1.12.5,Rehabilitation/Restoration of the wetland and ecosystems connectivity
1.12.6,Governance of water and pasture
1.13.1,EAF3: Environmental Justice in Masoala - Co-design knowledge and engagement
1.13.5,Innovations for stimulating nature positive livelihoods
1.13.7,Improving land governance
1.15.1,SEA1: Stewardship at forest frontiers - Co-design knowledge and engagement
1.15.13,Youth engagement and environmental education
1.15.5,Alternative nature positive land use and livelihood development
1.15.6,Biodiversity conservation innovations
1.15.12,SEA2: Co-designed knowledge and engagement
1.19.2,LANAT-2: Development of the Grosses Moos region
1.19.4,PROMOOS: Promotion of biodiversity and agroecology in Grosses Moos
1.17.3,LANAT-3: Water body management
1.17.4,LANAT-4: Raised bogs regeneration
1.17.7,AGR-1: Nature Park stations
1.17.8,AWN-1: Forest Fire Management
1.18.2,AUE-1: Climate Neutral Region Oberland-Ost
1.18.3,AUE-3: Plus-Energy City
1.18.4,AUE-2: Biomass Potential
1.18.5,AWN-2: Regional Value Chains Forest and Wood
1.18.7,AWA-1: Substitute Raw Materials in the Circular Economy
1.18.9,NRP-Project: Berner Bergbahnen & Klimawandel
1.19.3,LANAT-1: Capturing the value of the soil
1.2.1,How-to Guide: Solutionscape co-design
1.2.4,Anticipating the “Dis-placed” Consequences of Global Biodiversity Targets
1.2.5,Pathways to Systems Transformation
1.2.6,Transformational capacities of complex SES
1.4.1,LM&E System
2.1.1,Interdisciplinary research: Artisanal mining
2.1.2,Interdisciplinary research: Agroecology
2.1.4,Interdisciplinary research: Indigenous governance
2.1.11,ID Payments for ecosystem services (PES): carbon and biodiversity credits
2.1.12,Interdisciplinary research: Water scarcity
2.1.14,Stakeholder Network Analysis (SNA) for System Transformation
2.2.1,Scaling Sustainable Ventures
2.2.3,Testing the Adoption of the Wyss Academy approach by partners
2.3.5,Changemakers Program
2.3.6,Second Wyss Academy Dialogue on the true value of forests
2.4.1,Policy monitoring and engagement
2.4.3,EUDR
3.1.1,Social Innovation
3.1.3,Cooperate with relevant institutions to promote the Wyss Academy
3.2.1,Research and Innovation teams: Climate
3.2.2,Research and Innovation teams: Political Economy
3.2.3,Research and Innovation teams: Land Systems
3.2.4,Research and Innovation teams: Integrative Biodiversity Conservation Science
3.2.6,Research and Innovation teams: Environmental Governance
3.2.7,Innovative technology for nature & people
3.2.8,Knowledge & Engagement Platform
3.3.2,Strategic Alignment
3.3.6,Learning and Knowledge Management
3.4.3,Adaptive Culture and Organization
3.4.4,Exploration development
